Identifier,Price,Price_cat,Month_sold,Year_sold,Sale_type,Type,Area,Size,Street_front,Plot_shape,Incline,SlopeType,Condition,Year_Built,Year_Renov,Water,Tarred_road,Culdesac,Corner,Roof_Type,Bathrooms,Bedrooms,KitchenCondition,Braais_Fireplaces,Garages,Driveway,Pool,BusyStreet,NearRail,NearGreen
27380365,2160000,High,1,2020,Normal,Double storey,Residential,697,,Regular,Flat,Gentle,6,2000,2000,1,Yes,0,0,Traditional,3.5,3,0,0,2,Paved,Yes,0,0,0
27414545,1490000,Average,3,2020,Normal,Single storey,Residential,1044,,Irregular,Flat,Gentle,7,1970,1970,1,Yes,1,0,Traditional,2,2,0,1,2,Paved,No,0,0,0
27414595,1499000,Average,4,2020,Normal,Single storey,Residential,1165,,Irregular,Flat,Gentle,6,1971,2008,1,Yes,1,0,Traditional,2.5,3,0,1,2,Paved,No,0,0,0
27415365,1420000,Average,7,2020,Normal,Single storey,Residential,785,20,Regular,Flat,Gentle,6,1968,1968,1,Yes,0,0,Traditional,2,3,0,1,1,Paved,Yes,0,0,0
27416465,1260000,Low,4,2020,Normal,Single storey,Residential,780,21,Regular,Flat,Gentle,5,1970,1970,1,Yes,0,1,Traditional,2,2,0,0,2,Paved,Yes,0,0,0
27437435,1150000,Low,4,2020,Normal,Single storey,Residential,975,21,Regular,Flat,Gentle,5,1971,1971,1,Yes,0,0,Traditional,1,3,0,1,0,Paved,No,0,0,0
27439575,1840000,Average,6,2020,Normal,Estate,Residential,544,8,Irregular,Flat,Gentle,6,1999,1999,1,Yes,0,0,Traditional,3,2,0,1,2,Paved,Yes,0,0,0
27463525,960000,Low,2,2020,Normal,Estate,Residential,156,6,Regular,Flat,Gentle,6,1971,1971,1,Yes,0,0,Traditional,1.5,2,0,0,1,Paved,Yes,0,0,0
27463675,1055000,Low,3,2020,Normal,Estate,Residential,156,6,Regular,Flat,Gentle,5,1971,1971,1,Yes,0,0,Traditional,1.5,3,0,0,1,Paved,No,0,0,0
27463755,880000,Low,3,2020,Other,Estate,Residential,156,6,Regular,Flat,Gentle,6,1971,1971,1,Yes,0,0,Traditional,1.5,3,0,0,1,Paved,No,0,0,0
27464535,1275000,Low,7,2020,Normal,Estate,Residential,376,16,Regular,Flat,Gentle,6,1977,1977,1,Yes,0,0,Traditional,2,2,0,1,2,Paved,Yes,0,0,0
27465475,1499000,Average,6,2020,Normal,Estate,Residential,212,7,Regular,Flat,Gentle,6,1975,1975,1,Yes,0,0,Traditional,2.5,3,0,1,2,Paved,Yes,0,0,0
27465495,1200000,Low,6,2020,Normal,Estate,Residential,212,7,Regular,Flat,Gentle,7,1975,1975,1,Yes,0,0,Traditional,1,2,0,0,1,Paved,Yes,0,0,0
27466545,1460000,Average,7,2020,Normal,Estate,Residential,212,7,Regular,Flat,Gentle,6,1978,1978,1,Yes,0,0,Traditional,2.5,3,0,1,2,Paved,Yes,0,0,0
28120465,3761620,High,1,2020,Other,Double storey,Residential,1195,31,Irregular,Flat,Gentle,7,2009,2010,1,Yes,0,0,Traditional,2.5,3,1,1,3,Paved,Yes,0,0,0
28124365,3060000,High,5,2020,Normal,Single storey,Residential,1066,30,Regular,Flat,Gentle,7,2007,2008,1,Yes,0,0,Traditional,3,3,0,1,3,Paved,Yes,0,0,0
28132405,3951920,High,4,2020,Other,Single storey,Residential,944,25,Irregular,Flat,Gentle,7,2009,2010,1,Yes,0,0,Traditional,3.5,3,1,1,3,Paved,Yes,0,0,0
28132435,2909410,High,6,2020,Other,Single storey,Residential,1197,29,Irregular,Flat,Gentle,7,2009,2010,1,Yes,0,1,Traditional,2,3,0,0,3,Paved,Yes,0,0,0
28132445,2200000,High,5,2020,Other,Single storey,Residential,1132,29,Regular,Flat,Gentle,6,2005,2005,1,Yes,0,1,Traditional,2,3,0,1,2,Paved,Yes,0,0,0
28132465,2750000,High,6,2020,Normal,Single storey,Residential,1070,27,Regular,Flat,Gentle,7,2005,2005,1,Yes,0,0,Traditional,2,3,1,1,3,Paved,Yes,0,0,1
28150365,2590000,High,2,2020,Normal,Single storey,Residential,1312,24,Irregular,Flat,Gentle,7,2005,2006,1,Yes,0,0,Traditional,2,3,1,1,3,Paved,Yes,0,0,0
28150405,2140000,High,3,2020,Normal,Single storey,Residential,945,21,Irregular,Flat,Gentle,6,2004,2004,1,Yes,0,0,Traditional,2,3,0,0,2,Paved,No,0,0,0
28162415,6116570,High,3,2020,Other,Single storey,Residential,1200,30,Irregular,Flat,Gentle,7,2009,2010,1,Yes,0,0,Traditional,3.5,2,1,2,3,Paved,Yes,0,0,0
28187355,2240000,High,6,2020,Other,Estate,Residential,592,13,Irregular,Flat,Gentle,6,2009,2010,1,Yes,0,0,Traditional,3,2,0,1,2,Paved,Yes,0,0,0
28188355,5000000,High,6,2020,Normal,Single storey,Residential,1329,34,Regular,Up,Moderate,7,2003,2004,1,Yes,0,0,Traditional,3.5,3,1,2,3,Paved,Yes,0,0,0
28188415,3200000,High,6,2020,Normal,Double storey,Residential,1268,32,Regular,Flat,Gentle,7,2002,2002,1,Yes,0,1,Traditional,3.5,3,0,1,3,Paved,Yes,0,0,0
28192415,3199000,High,2,2020,Normal,Estate,Residential,711,19,Regular,Flat,Gentle,7,2005,2005,1,Yes,0,0,Traditional,3,2,1,1,2,Paved,Yes,0,0,0
28193395,2050000,Average,4,2020,Normal,Estate,Residential,663,12,Irregular,Flat,Gentle,7,2006,2006,1,Yes,0,0,Traditional,2,2,0,1,2,Paved,Yes,0,0,0
28200465,1755000,Average,6,2020,Normal,Estate,Residential,244,11,Regular,Flat,Gentle,6,2003,2003,1,Yes,0,0,Traditional,2.5,2,0,0,2,Paved,Yes,0,0,0
28230495,1995000,Average,1,2020,Normal,Single storey,Residential,1718,30,Irregular,Flat,Gentle,6,2005,2005,1,Yes,0,1,Traditional,2,3,0,0,2,Paved,Yes,0,0,0
28240630,1600000,Average,1,2020,Normal,Estate,Residential,298,13,Regular,Flat,Gentle,6,2006,2006,1,Yes,0,0,Traditional,2,2,0,0,2,Paved,Yes,0,0,0
28240785,1920000,Average,4,2020,Normal,Estate,Residential,296,13,Regular,Flat,Gentle,7,2004,2005,1,Yes,0,0,Traditional,2,2,0,1,2,Paved,Yes,0,0,0
28243365,1845000,Average,6,2020,Normal,Double storey,Residential,1236,20,Irregular,Flat,Gentle,6,2004,2004,1,Yes,0,0,Traditional,3.5,3,0,1,2,Paved,Yes,0,0,0
28252415,2165000,High,5,2020,Normal,Double storey,Residential,729,,Regular,Flat,Gentle,6,2002,2002,1,Yes,0,0,Traditional,3.5,4,0,2,2,Paved,Yes,0,0,0
28252475,1850880,Average,4,2020,Normal,Double storey,Residential,797,19,Irregular,Flat,Gentle,6,2004,2004,1,Yes,0,0,Traditional,2.5,3,0,1,2,Paved,Yes,0,0,0
28262445,1800000,Average,4,2020,Normal,Double storey,Residential,720,,Irregular,Flat,Gentle,6,2000,2000,1,Yes,0,0,Traditional,2.5,3,0,1,2,Paved,Yes,0,0,0
28304365,2225000,High,5,2020,Normal,Double storey,Residential,883,,Irregular,Flat,Gentle,6,2001,2001,1,Yes,1,0,Traditional,2.5,3,0,1,2,Paved,Yes,0,0,0
28340445,3331680,High,5,2020,Normal,Double storey,Residential,1373,33,Irregular,Flat,Gentle,7,1999,1999,1,Yes,0,1,Traditional,2.5,4,0,1,3,Paved,Yes,0,0,0
28356415,3550000,High,1,2020,Normal,Double storey,Residential,1620,18,Irregular,Flat,Gentle,7,1998,1998,1,Yes,1,0,Traditional,2.5,4,0,1,3,Paved,Yes,0,0,0
28370355,2604000,High,3,2020,Normal,Single storey,Residential,984,18,Irregular,Flat,Gentle,6,1996,1996,1,Yes,0,0,Traditional,3,3,0,1,2,Paved,Yes,0,0,0
28375475,3250000,High,4,2020,Normal,Double storey,Residential,1139,30,Irregular,Flat,Gentle,7,1994,1995,1,Yes,0,1,Traditional,3.5,3,0,2,2,Paved,Yes,0,0,0
28394365,2900000,High,4,2020,Normal,Double storey,Residential,1093,28,Irregular,Flat,Gentle,8,1999,2007,1,Yes,1,0,Traditional,2.5,4,0,1,3,Paved,Yes,0,0,0
28394375,2210000,High,6,2020,Normal,Double storey,Residential,1558,18,Irregular,Flat,Gentle,6,1998,1998,1,Yes,1,0,Traditional,2.5,4,0,0,2,Paved,Yes,0,0,0
28398385,4100000,High,3,2020,Normal,Single storey,Residential,1368,17,Irregular,Flat,Gentle,7,1995,1996,1,Yes,1,0,Traditional,3.5,4,0,1,3,Paved,Yes,0,0,0
28457405,2215000,High,5,2020,Normal,Single storey,Residential,835,22,Regular,Flat,Gentle,7,2005,2006,1,Yes,0,0,Traditional,2,2,0,1,3,Paved,Yes,0,0,0
28468505,2045000,Average,4,2020,Other,Single storey,Residential,856,28,Regular,Flat,Gentle,6,2009,2010,1,Yes,0,0,Traditional,2,2,0,0,2,Paved,Yes,0,0,0
28470415,2152000,High,6,2020,Normal,Double storey,Residential,803,22,Regular,Flat,Gentle,6,2009,2009,1,Yes,0,0,Traditional,2.5,3,0,0,2,Paved,Yes,0,0,0
28470455,2625000,High,4,2020,Normal,Single storey,Residential,836,23,Regular,Flat,Gentle,7,2008,2008,1,Yes,0,0,Traditional,3,3,0,0,2,Paved,Yes,0,0,0
28489425,2549000,High,5,2020,Normal,Double storey,Residential,1166,30,Regular,Flat,Gentle,6,2004,2005,1,Yes,0,1,Traditional,2.5,3,0,1,2,Paved,Yes,0,0,0
28492435,2715000,High,5,2020,Normal,Single storey,Residential,970,26,Regular,Flat,Gentle,6,2005,2005,1,Yes,0,1,Traditional,3,2,0,1,2,Paved,Yes,0,0,0
31379395,2330000,High,1,2020,Normal,Double storey,Residential,942,23,Irregular,Flat,Gentle,6,2004,2004,1,Yes,0,0,Traditional,3.5,4,0,0,2,Paved,Yes,0,0,0
31381405,1810000,Average,4,2020,Normal,Double storey,Residential,1107,21,Regular,Flat,Gentle,6,2004,2004,1,Yes,0,0,Traditional,2.5,3,0,0,2,Paved,Yes,0,0,0
31392425,2050000,Average,5,2020,Normal,Double storey,Residential,825,,Irregular,Flat,Gentle,6,1994,2002,1,Yes,0,0,Traditional,3.5,3,0,2,2,Paved,Yes,0,0,0
31463455,1430000,Average,5,2020,Normal,Estate,Residential,744,15,Regular,Flat,Gentle,6,1980,1980,1,Yes,0,0,Traditional,2,2,0,1,1,Paved,Yes,0,0,0
31463625,1890000,Average,5,2020,Normal,Double storey,Residential,1042,21,Regular,Flat,Gentle,6,1992,1992,1,Yes,0,0,Traditional,2.5,3,0,1,2,Paved,Yes,0,0,0
31464365,995000,Low,4,2020,Normal,Estate,Residential,733,17,Regular,Flat,Gentle,6,1979,1979,1,Yes,0,0,Traditional,2,2,0,1,1,Paved,Yes,0,0,0
31464395,1250000,Low,2,2020,Normal,Estate,Residential,667,15,Regular,Flat,Gentle,6,1984,1984,1,Yes,0,0,Traditional,2,2,0,0,1,Paved,Yes,0,0,0
31464525,1945000,Average,2,2020,Normal,Double storey,Residential,878,,Irregular,Flat,Gentle,7,1993,2003,1,Yes,1,0,Traditional,2.5,3,0,0,2,Paved,Yes,0,1,0
31465355,1520000,Average,5,2020,Normal,Single storey,Residential,899,25,Regular,Flat,Gentle,6,1984,1985,1,Yes,0,1,Traditional,2,3,0,0,2,Paved,No,0,0,0
31465385,1710000,Average,4,2020,Normal,Double storey,Residential,780,21,Regular,Flat,Gentle,6,1980,1981,1,Yes,0,0,Traditional,2.5,3,0,1,2,Paved,Yes,0,0,0
31489395,675000,Low,4,2020,Normal,Single storey,Residential,910,21,Regular,Flat,Gentle,5,1920,1950,1,Yes,0,1,Traditional,1,2,0,0,1,Paved,Yes,1,0,0
32363485,1120000,Low,4,2020,Normal,Duplex,Residential,830,21,Regular,Flat,Gentle,6,1978,1978,1,Yes,0,0,Traditional,2,4,0,0,2,Paved,No,0,1,0
32366435,1480000,Average,6,2020,Normal,Double storey,Residential,1095,27,Irregular,Flat,Gentle,6,1961,1995,1,Yes,0,0,Traditional,2,3,0,0,2,Paved,Yes,0,0,0
32388505,1385000,Average,4,2020,Normal,Single storey,Residential,785,20,Regular,Flat,Gentle,7,1965,2009,1,Yes,0,0,Traditional,2,3,0,1,1,Paved,Yes,0,1,0
32389405,1220000,Low,2,2020,Normal,Single storey,Residential,912,,Irregular,Flat,Gentle,5,1967,1967,1,Yes,0,0,Traditional,1,3,0,0,1,Paved,No,0,0,0
32389445,1330000,Average,6,2020,Normal,Single storey,Residential,697,23,Regular,Flat,Gentle,5,1963,1963,1,Yes,0,1,Traditional,2.5,3,0,0,1,Paved,Yes,1,0,0
32390455,1270000,Low,4,2020,Normal,Single storey,Residential,641,,Irregular,Flat,Gentle,7,1962,2010,1,Yes,0,1,Traditional,2.5,3,0,0,1,Paved,Yes,0,0,0
32491415,1690000,Average,4,2020,Other,Single storey,Residential,1432,12,Irregular,Flat,Gentle,6,1974,2002,1,Yes,1,0,Traditional,3,3,0,2,2,Paved,Yes,0,1,0
33142365,1900000,Average,6,2020,Normal,Double storey,Residential,946,33,Irregular,Flat,Gentle,6,1992,1992,1,Yes,0,0,Traditional,3.5,3,0,1,2,Paved,Yes,0,0,0
33142475,3625000,High,6,2020,Normal,Double storey,Residential,1221,26,Irregular,Flat,Gentle,7,1993,1993,1,Yes,0,0,Traditional,3.5,4,0,1,3,Paved,Yes,0,0,0
33142505,2850000,High,6,2020,Normal,Double storey,Residential,1034,27,Regular,Flat,Gentle,7,1992,1993,1,Yes,0,0,Traditional,3.5,4,0,1,3,Paved,Yes,0,0,0
33217405,2600000,High,3,2020,Normal,Estate,Residential,449,8,Irregular,Flat,Gentle,6,2004,2005,1,Yes,1,0,Traditional,3,2,0,1,2,Paved,Yes,0,0,0
33220435,1900000,Average,1,2020,Normal,Estate,Residential,327,12,Regular,Flat,Gentle,6,2004,2004,1,Yes,0,0,Traditional,2.5,2,0,0,2,Paved,Yes,0,0,0
33222405,1550000,Average,4,2020,Normal,Estate,Residential,299,9,Regular,Flat,Gentle,6,2004,2004,1,Yes,0,0,Traditional,2.5,2,0,0,2,Paved,Yes,0,0,0
33224355,1510000,Average,6,2020,Normal,Estate,Residential,296,9,Regular,Flat,Gentle,6,2004,2005,1,Yes,0,0,Traditional,2.5,2,0,0,2,Paved,Yes,0,0,0
33224365,1495000,Average,2,2020,Normal,Estate,Residential,236,7,Regular,Flat,Gentle,6,2004,2005,1,Yes,0,0,Traditional,3.5,2,0,0,2,Paved,Yes,0,0,0
33224405,1520000,Average,5,2020,Normal,Estate,Residential,236,7,Regular,Flat,Gentle,6,2005,2005,1,Yes,0,0,Traditional,3.5,2,0,0,2,Paved,Yes,0,0,0
33225375,2220000,High,6,2020,Other,Single storey,Residential,409,,Irregular,Flat,Gentle,6,2009,2009,1,Yes,0,0,Traditional,3.5,2,0,1,2,Paved,Yes,0,0,0
33233435,1775000,Average,6,2020,Normal,Estate,Residential,197,,Regular,Flat,Gentle,6,2000,2000,1,Yes,0,0,Traditional,2.5,3,0,0,2,Paved,Yes,0,0,0
33233455,1770000,Average,5,2020,Normal,Estate,Residential,277,,Regular,Flat,Gentle,6,2000,2000,1,Yes,0,1,Traditional,3.5,2,0,0,2,Paved,Yes,0,0,0
33235365,1550000,Average,5,2020,Normal,Estate,Residential,239,7,Regular,Flat,Gentle,6,1999,1999,1,Yes,0,0,Traditional,3.5,3,0,0,2,Paved,Yes,0,0,0
33235445,1471100,Average,6,2020,Normal,Estate,Residential,223,,Irregular,Flat,Gentle,6,2003,2003,1,Yes,0,0,Traditional,2.5,2,0,0,2,Paved,Yes,0,0,0
33250390,2679160,High,4,2020,Other,Single storey,Residential,1194,17,Irregular,Flat,Gentle,7,2010,2010,1,Yes,0,0,Traditional,2.5,1,0,1,3,Paved,Yes,0,0,0
33256375,2540000,High,4,2020,Normal,Double storey,Residential,686,21,Irregular,Flat,Gentle,7,2000,2000,1,Yes,0,0,Traditional,3.5,3,0,1,2,Paved,Yes,0,0,0
33265405,1550000,Average,6,2020,Normal,Estate,Residential,411,9,Irregular,Flat,Gentle,7,1980,1980,1,Yes,1,0,Traditional,2,1,0,1,2,Paved,Yes,0,0,0
33265555,2060000,Average,1,2020,Normal,Estate,Residential,360,12,Irregular,Flat,Gentle,7,1978,1978,1,Yes,0,0,Traditional,2,1,0,1,2,Paved,Yes,0,0,0
33364515,1305000,Average,3,2020,Normal,Double storey,Residential,1256,,Irregular,Flat,Gentle,7,1976,2005,1,Yes,1,0,Traditional,2.5,3,0,0,2,Paved,Yes,0,1,0
34114370,2300000,High,4,2020,Normal,Single storey,Residential,743,24,Regular,Flat,Gentle,6,2002,2002,1,Yes,0,0,Traditional,3,3,0,1,2,Paved,Yes,0,0,0
34141385,2185000,High,5,2020,Normal,Single storey,Residential,971,,Irregular,Flat,Gentle,6,1967,1967,1,Yes,0,0,Traditional,3,4,0,0,2,Paved,Yes,0,0,0
34163520,2435000,High,3,2020,Normal,Double storey,Residential,1003,24,Regular,Flat,Gentle,6,1993,1993,1,Yes,0,0,Traditional,3.5,4,0,1,2,Paved,Yes,0,0,0
34164395,2050000,Average,2,2020,Normal,Single storey,Residential,985,,Irregular,Flat,Gentle,7,1977,2001,1,Yes,0,0,Traditional,3,3,0,2,2,Paved,Yes,0,0,0
34164415,2125000,High,4,2020,Normal,Single storey,Residential,1750,,Irregular,Flat,Gentle,6,1978,1978,1,Yes,0,0,Traditional,3.5,3,0,1,2,Paved,Yes,0,0,0
34164445,1965000,Average,3,2020,Normal,Double storey,Residential,968,24,Regular,Flat,Gentle,6,1988,1988,1,Yes,0,0,Traditional,2.5,3,0,1,2,Paved,Yes,0,0,0
34188405,1975000,Average,3,2020,Normal,Single storey,Residential,870,24,Regular,Flat,Gentle,7,1972,2006,1,Yes,0,0,Traditional,2.5,3,0,1,2,Paved,No,0,0,0
34188575,1710000,Average,6,2020,Normal,Double storey,Residential,892,24,Regular,Flat,Gentle,6,1971,1971,1,Yes,0,0,Traditional,2,4,0,0,2,Paved,Yes,0,0,0
34214505,1422500,Average,4,2020,Normal,Single storey,Residential,892,24,Regular,Flat,Gentle,5,1966,1966,1,Yes,0,0,Traditional,2.5,3,0,0,2,Paved,Yes,0,0,0
34263665,1430000,Average,6,2020,Normal,Single storey,Residential,910,,Regular,Flat,Gentle,6,1963,1963,1,Yes,0,0,Traditional,2.5,3,0,2,2,Paved,Yes,1,0,0
34288705,1289500,Low,1,2020,Normal,Single storey,Residential,866,23,Irregular,Flat,Gentle,5,1959,1959,1,Yes,0,0,Traditional,2.5,3,0,0,0,Paved,Yes,0,0,0
34413455,1590000,Average,4,2020,Normal,Single storey,Residential,920,27,Regular,Flat,Gentle,5,1966,1966,1,Yes,0,1,Traditional,2,3,0,0,2,Paved,Yes,0,0,0
34413485,1789000,Average,4,2020,Normal,Single storey,Residential,899,27,Regular,Flat,Gentle,6,1967,1967,1,Yes,0,0,Traditional,3,3,0,0,2,Paved,Yes,0,0,0
34415705,1363000,Average,5,2020,Other,Double storey,Residential,985,,Irregular,Flat,Gentle,6,1964,1964,1,Yes,0,0,Traditional,2,3,0,0,2,Paved,Yes,0,0,0
34415755,1805000,Average,4,2020,Normal,Double storey,Residential,1311,,Irregular,Flat,Gentle,6,1964,1964,1,Yes,0,1,Traditional,2,3,0,1,2,Paved,Yes,0,0,0
34437655,1375000,Average,5,2020,Other,Double storey,Residential,818,24,Regular,Flat,Gentle,7,1963,1963,1,Yes,0,0,Traditional,2,3,0,0,2,Paved,Yes,1,0,0
34439355,849000,Low,1,2020,Other,Duplex,Residential,1232,30,Irregular,Flat,Gentle,6,1962,2001,1,Yes,0,0,Traditional,4,6,0,0,0,Paved,No,0,0,0
34442425,1421250,Average,4,2020,Normal,Single storey,Residential,903,21,Regular,Flat,Gentle,6,1950,1996,1,Yes,0,0,Traditional,2,2,0,0,1,Paved,Yes,0,0,0
34443395,1976000,Average,3,2020,Normal,Single storey,Residential,903,21,Regular,Flat,Gentle,6,1952,2002,1,Yes,0,0,Traditional,2,3,0,2,2,Paved,No,0,0,0
34443415,1725000,Average,1,2020,Normal,Single storey,Residential,1613,37,Regular,Flat,Gentle,6,1949,1950,1,Yes,0,1,Traditional,2,3,0,1,2,Paved,Yes,1,0,0
34462525,1165000,Low,2,2020,Normal,Single storey,Residential,670,15,Irregular,Flat,Gentle,6,1958,2008,1,Yes,0,0,Traditional,2,2,0,0,0,Paved,Yes,0,0,0
34463495,765000,Low,5,2020,Normal,Single storey,Residential,497,17,Irregular,Flat,Gentle,3,1940,1966,1,Yes,0,0,Traditional,1,3,-1,0,0,Paved,Yes,0,0,0
34487445,1280000,Low,2,2020,Normal,Single storey,Residential,922,24,Regular,Flat,Gentle,5,1954,1954,1,Yes,0,0,Traditional,2,3,0,0,1,Paved,Yes,0,0,0
34488605,1530000,Average,3,2020,Normal,Double storey,Residential,892,24,Regular,Flat,Gentle,6,1955,1972,1,Yes,0,0,Traditional,2,3,0,2,1,Paved,Yes,0,0,0
34491665,1320000,Average,3,2020,Normal,Single storey,Residential,725,24,Regular,Flat,Gentle,6,1954,1954,1,Yes,0,0,Traditional,1,2,0,1,1,Paved,Yes,0,0,0
35113365,1780000,Average,1,2020,Normal,Double storey,Residential,1057,23,Irregular,Flat,Gentle,7,1966,2008,1,Yes,0,0,Traditional,2,2,0,1,1,Paved,Yes,0,0,0
35118535,1543000,Average,1,2020,Normal,Duplex,Residential,1078,24,Regular,Flat,Gentle,5,1960,1960,1,Yes,0,1,Traditional,2,5,0,0,2,Paved,No,1,0,0
35137355,1800000,Average,7,2020,Normal,Single storey,Residential,1849,,Regular,Flat,Gentle,6,1970,1989,1,Yes,0,0,Traditional,3,3,0,1,2,Paved,Yes,0,0,1
35138385,1900000,Average,6,2020,Normal,Single storey,Residential,1532,42,Irregular,Flat,Gentle,6,1966,2002,1,Yes,0,1,Traditional,2.5,2,0,1,2,Paved,No,0,0,1
35164355,1350000,Average,3,2020,Normal,Duplex,Residential,768,21,Regular,Flat,Gentle,5,1958,1958,1,Yes,0,1,Traditional,2,4,0,0,2,Paved,Yes,1,0,0
35164395,2140000,High,2,2020,Normal,Single storey,Residential,762,21,Regular,Flat,Gentle,6,2003,2009,1,Yes,0,0,Traditional,3,3,0,0,2,Paved,Yes,0,0,0
35164475,1360000,Average,5,2020,Normal,Single storey,Residential,748,,Irregular,Flat,Gentle,5,1959,1959,1,Yes,0,0,Traditional,2,3,0,0,1,Paved,No,0,0,0
35164495,1655000,Average,4,2020,Normal,Single storey,Residential,980,21,Irregular,Flat,Gentle,5,1959,1959,1,Yes,0,0,Traditional,2,4,0,1,2,Paved,Yes,0,0,0
35164595,1450000,Average,6,2020,Normal,Single storey,Residential,780,21,Regular,Flat,Gentle,6,1957,1957,1,Yes,0,0,Traditional,2,3,0,0,1,Paved,Yes,0,0,0
35165415,1480000,Average,4,2020,Normal,Single storey,Residential,814,22,Regular,Flat,Gentle,6,1959,1959,1,Yes,0,0,Traditional,2,3,0,0,1,Paved,Yes,0,0,0
35166395,1420000,Average,5,2020,Other,Single storey,Residential,1130,,Irregular,Flat,Gentle,5,1959,1959,1,Yes,0,0,Traditional,2,3,0,0,2,Paved,No,0,0,0
